	-----------------------------------------------------------------	
	Trajectory	0

BackScattered	Transmitted	Detected	Displayed	Nb Collisions	Max Depth	Mean Free Path	Mean dE/dS	Mean Phi	Mean Theta	Mean Position
no	no	no	yes	306	696.729	0	-0.0113523	3.01902	0.202068	(-376.861,-183.758,519.729)	

X	Y	Z	Rx	Ry	Rz	Energy	Region
0.272906	0.28297	0	0	0	1	10	BN
0.272906	0.28297	10.5196	0	0	1	9.96791	BN
0.272906	0.28297	48.6283	-0.0376946	0.0396504	0.998502	9.85137	BN
-1.64577	2.3012	99.4525	-0.0495565	0.0124834	0.999289	9.69422	BN
-1.67292	2.30804	100	-0.0495565	0.0124834	0.999289	9.69251	Si
-2.04023	2.40056	107.407	-0.046418	0.0169056	1.00024	9.66324	Si
-2.86405	2.7006	125.159	-0.0388969	0.0473834	0.998378	9.59299	Si
-2.91991	2.76865	126.593	0.0127681	0.0883758	0.996251	9.58728	Si
-2.8744	3.08363	130.143	0.0600157	0.0726097	0.995868	9.57308	Si
-2.05438	4.07572	143.75	0.00297729	0.0835798	0.996546	9.51861	Si
-2.03722	4.55751	149.495	0.0478677	0.0392558	0.998197	9.49553	Si
-1.93353	4.64254	151.657	0.0476327	0.0532654	0.996716	9.48684	Si
-1.45962	5.17249	161.574	0.0545039	0.0455779	0.996813	9.44691	Si
-0.326925	6.11969	182.289	0.0306672	0.0804468	0.99539	9.36321	Si
-0.1805	6.50379	187.042	0.00484978	0.078275	0.996036	9.34385	Si
-0.176105	6.57473	187.945	-0.203981	0.194131	0.959913	9.34017	Si
-1.50816	7.84247	194.213	-0.162709	0.240085	0.957007	9.31365	Si
-1.80607	8.28205	195.965	-0.448285	0.134254	0.856167	9.30619	Si
-2.27999	8.42398	196.87	-0.447333	0.137182	0.856332	9.30189	Si
-2.56962	8.5128	197.425	-0.446177	0.186074	0.818821	9.29925	Si
-17.758	14.847	225.299	-0.440583	0.183751	0.828895	9.1605	Si
-19.5055	15.5758	228.586	-0.434204	0.17278	0.845156	9.14415	Si
-23.7032	17.2462	236.757	-0.427804	0.134676	0.876082	9.10423	Si
-24.0071	17.3418	237.379	-0.455157	-0.0411635	0.90405	9.10129	Si
-28.6774	16.9195	246.655	-0.453785	-0.048955	0.895906	9.05878	Si
-37.9448	15.9197	264.952	-0.44567	-0.121509	0.939053	8.97386	Si
-39.6837	15.4456	268.616	-0.448589	-0.112978	0.944888	8.95752	Si
-45.6823	13.9348	281.251	-0.43954	-0.140435	0.928339	8.90144	Si
-53.2358	11.5214	297.205	-0.439728	-0.142623	0.939171	8.82902	Si
-54.201	11.2084	299.266	-0.395553	-0.257258	0.896358	8.81971	Si
-56.5196	9.70039	304.52	-0.408046	-0.238007	0.895507	8.79484	Si
-61.3243	6.89792	315.065	-0.431325	-0.167552	0.962783	8.74476	Si
-63.2039	6.16777	319.26	-0.427159	-0.178757	0.969852	8.72615	Si
-69.3275	3.60517	333.164	-0.427116	-0.178629	0.965703	8.66482	Si
-70.4666	3.12876	335.739	-0.350859	-0.342785	0.926451	8.65335	Si
-75.9613	-2.23955	350.248	-0.329643	-0.368512	0.920759	8.58592	Si
-80.6914	-7.52737	363.46	-0.222822	-0.490691	0.877524	8.52378	Si
-84.9207	-16.841	380.116	-0.547521	-0.414779	0.662576	8.44112	Si
-86.1357	-17.7614	381.587	-0.57429	-0.378595	0.665504	8.43138	Si
-88.9059	-19.5876	384.797	-0.665934	-0.229217	0.69102	8.4102	Si
-93.0466	-21.0129	389.094	-0.658534	-0.238204	0.670527	8.38284	Si
-99.4503	-23.3292	395.614	-0.653911	-0.234212	0.643003	8.33996	Si
-104.455	-25.1218	400.535	-0.662163	-0.217428	0.654606	8.30607	Si
-108.509	-26.453	404.543	-0.690485	-0.13806	0.676235	8.27888	Si
-112.88	-27.3268	408.823	-0.707142	-0.094535	0.78421	8.2507	Si
-115.16	-27.6317	411.352	-0.707066	-0.0822753	0.770472	8.2363	Si
-120.973	-28.3081	417.687	-0.693458	-0.154766	0.739489	8.19955	Si
-121.423	-28.4085	418.167	-0.695434	-0.144647	0.737975	8.19664	Si
-130.85	-30.3692	428.17	-0.706188	-0.118192	0.77962	8.13584	Si
-137.75	-31.524	435.787	-0.706188	-0.118192	0.77962	8.09176	Si
-137.916	-31.5519	435.971	-0.724466	-0.0359717	0.857386	8.09069	Si
-137.992	-31.5557	436.06	-0.724559	-0.016433	0.84399	8.09022	Si
-138.421	-31.5654	436.561	-0.722945	-0.0568649	0.877311	8.08753	Si
-140.59	-31.736	439.192	-0.725007	-0.0340945	0.883876	8.07394	Si
-147.003	-32.0376	447.011	-0.699867	0.293603	0.823165	8.0338	Si
-153.051	-29.5002	454.125	-0.697755	0.331563	0.794679	7.99444	Si
-154.406	-28.8563	455.668	-0.69543	0.361265	0.773563	7.98556	Si
-164.548	-23.588	466.949	-0.69543	0.361265	0.773563	7.91884	Si
-164.899	-23.4057	467.339	-0.713503	0.31512	0.780169	7.91652	Si
-167.956	-22.0553	470.682	-0.697155	0.336342	0.791665	7.89678	Si
-174.087	-19.0978	477.644	-0.74657	0.275125	0.747737	7.85621	Si
-187.468	-14.1663	491.046	-0.781701	0.10651	0.77023	7.77318	Si
-194.076	-13.2661	497.557	-0.775847	0.0356504	0.836625	7.73372	Si
-194.629	-13.2406	498.154	-0.498123	-0.523642	0.971162	7.73038	Si
-211.391	-30.8613	530.833	-0.558307	-0.455653	0.983769	7.5726	Si
-219.529	-37.503	545.173	-0.544991	-0.471571	0.984078	7.50319	Si
-222.85	-40.377	551.17	-0.556629	-0.451442	1.00321	7.47396	Si
-227.509	-44.1551	559.566	-0.537462	-0.481807	0.975159	7.43372	Si
-228.553	-45.0911	561.461	-0.534963	-0.495855	0.935813	7.42434	Si
-232.082	-48.3622	567.634	-0.529383	-0.491835	0.961558	7.39245	Si
-238.992	-54.7825	580.186	-0.540412	-0.443625	1.03432	7.32916	Si
-239.798	-55.4433	581.727	-0.849129	0.173402	1.02248	7.32189	Si
-242.354	-54.9212	584.805	-0.863775	0.162482	0.958638	7.30718	Si
-247.995	-53.8601	591.066	-0.875982	-0.00227425	0.976933	7.27524	Si
-249.433	-53.8638	592.669	-0.875598	-0.0251033	0.96559	7.26719	Si
-256.316	-54.0612	600.259	-0.87426	-0.00741837	0.929347	7.22858	Si
-265.662	-54.1405	610.194	-0.874089	-0.0135625	0.951524	7.17586	Si
-274.306	-54.2746	619.604	-0.84693	-0.221155	1.02522	7.12683	Si
-292.056	-58.9097	641.092	-0.822425	-0.271926	0.969108	7.02238	Si
-309.52	-64.6839	661.67	-0.679931	-0.522641	0.796362	6.91538	Si
-316.758	-70.2474	670.147	-0.518762	-0.697578	0.680117	6.86112	Si
-326.268	-83.036	682.616	-0.531247	-0.691181	0.667807	6.76712	Si
-330.232	-88.1933	687.599	-0.526463	-0.701078	0.638026	6.72847	Si
-337.766	-98.2256	696.729	-0.557459	0.115774	-0.325738	6.65403	Si
-340.056	-97.7499	695.39	-0.547496	0.158211	-0.321997	6.63247	Si
-342.534	-97.034	693.933	-0.541435	0.162559	-0.301756	6.60868	Si
-347.858	-95.4354	690.966	-0.566322	0.0695322	-0.299105	6.55683	Si
-348.771	-95.3234	690.484	-0.567353	0.0872778	-0.344241	6.54829	Si
-349.443	-95.2199	690.076	-0.568145	0.0592066	-0.322792	6.54199	Si
-353.199	-94.8285	687.942	-0.568538	0.0268468	-0.299687	6.50688	Si
-355.013	-94.7429	686.986	-0.564374	0.0376908	-0.255643	6.48986	Si
-355.272	-94.7255	686.868	-0.559149	0.0583419	-0.216974	6.4874	Si
-355.386	-94.7137	686.824	-0.520544	0.293538	-0.248276	6.48632	Si
-357.882	-93.3064	685.634	-0.520544	0.293538	-0.248276	6.46069	Si
-363.951	-89.8835	682.739	-0.500755	0.322784	-0.238939	6.39816	Si
-366.27	-88.3888	681.632	-0.501105	0.355593	-0.371895	6.37315	Si
-367.199	-87.7299	680.943	-0.391356	0.465193	-0.276723	6.36312	Si
-375.728	-77.5914	674.912	-0.423687	0.43633	-0.354603	6.24494	Si
-377.146	-76.1315	673.726	-0.391365	0.466581	-0.348278	6.22654	Si
-380.676	-71.923	670.585	-0.359894	0.142061	-0.69131	6.17683	Si
-382.473	-71.2137	667.133	-0.37936	0.0946952	-0.708801	6.14915	Si
-384.115	-70.8037	664.064	-0.372706	0.128073	-0.728366	6.12508	Si
-391.688	-68.2016	649.265	-0.368856	0.139335	-0.728817	6.01175	Si
-393.811	-67.3996	645.071	-0.360216	0.160225	-0.721267	5.9792	Si
-404.677	-62.5664	623.313	-0.403273	0.0587067	-0.725015	5.80791	Si
-404.804	-62.5479	623.085	-0.404016	0.0575212	-0.730768	5.80608	Si
-406.341	-62.329	620.304	-0.40844	-0.0394145	-0.678333	5.78401	Si
-408.346	-62.5224	616.975	-0.405341	-0.0716028	-0.675958	5.75545	Si
-415.656	-63.8137	604.785	-0.410203	-0.0458262	-0.673616	5.65013	Si
-418.239	-64.1023	600.543	-0.404939	-0.0750187	-0.6853	5.61286	Si
-419.16	-64.2729	598.984	-0.411703	-0.0247892	-0.692708	5.59933	Si
-419.511	-64.2941	598.393	-0.414068	0.00398958	-0.672002	5.59424	Si
-419.875	-64.2906	597.803	-0.413215	0.0444572	-0.685638	5.589	Si
-420.141	-64.262	597.361	-0.417394	0.00863868	-0.692465	5.58516	Si
-421.554	-64.2327	595.017	-0.415456	0.068749	-0.695676	5.56495	Si
-422.868	-64.0152	592.817	-0.41482	0.0765646	-0.701782	5.54602	Si
-430.408	-62.6235	580.06	-0.372917	0.195935	-0.604992	5.43694	Si
-430.974	-62.3262	579.142	-0.379858	0.173405	-0.563819	5.4277	Si
-433.137	-61.3387	575.931	-0.394176	0.145208	-0.578563	5.39298	Si
-435.469	-60.4796	572.509	-0.400827	0.122918	-0.569561	5.35675	Si
-436.113	-60.2821	571.593	-0.383813	0.170037	-0.556462	5.34685	Si
-437.457	-59.6869	569.645	-0.428293	0.0720769	-0.583837	5.32528	Si
-439.086	-59.4127	567.424	-0.419988	0.119412	-0.58457	5.30176	Si
-440.614	-58.9783	565.298	-0.493408	-0.290731	-0.521756	5.2792	Si
-444.227	-61.1074	561.477	-0.493408	-0.290731	-0.521756	5.23364	Si
-448.744	-63.7689	556.7	-0.543181	-0.335088	-0.375293	5.17633	Si
-452.49	-66.0794	554.113	-0.18028	-0.718222	-0.348298	5.13281	Si
-453.486	-70.0499	552.187	0.0374862	-0.827848	0.0605476	5.09771	Si
-453.33	-73.5063	552.44	-0.268995	-0.803928	-0.0482885	5.07106	Si
-453.71	-74.6421	552.372	-0.322655	-0.782577	-0.0590599	5.06201	Si
-456.777	-82.0812	551.81	-0.318566	-0.78072	-0.0751411	5.00104	Si
-458.28	-85.7634	551.456	-0.325766	-0.776207	-0.0817874	4.97052	Si
-459.858	-89.5253	551.06	-0.250323	-0.789812	-0.141042	4.93902	Si
-460.121	-90.3546	550.911	-0.0629353	-0.847304	-0.0329368	4.93216	Si
-460.43	-94.5135	550.75	-0.0997824	-0.844266	-0.0262798	4.90008	Si
-461.398	-102.703	550.495	-0.132632	-0.840167	-0.0205616	4.83637	Si
-461.814	-105.34	550.43	-0.143206	-0.839371	0.00799493	4.81556	Si
-462.617	-110.044	550.475	-0.0898431	-0.843517	0.0960149	4.77828	Si
-463.102	-114.601	550.994	-0.0337299	-0.852805	0.017785	4.74215	Si
-463.236	-117.977	551.064	-0.0426772	-0.852541	-0.00541669	4.71553	Si
-463.589	-125.04	551.019	-0.0980417	-0.847999	0.0333886	4.65959	Si
-464.341	-131.541	551.275	-0.232327	-0.824317	0.0422778	4.60738	Si
-465.988	-137.385	551.575	-0.20393	-0.831889	0.0399938	4.5587	Si
-471.793	-161.064	552.713	-0.284552	-0.808928	0.0366718	4.36175	Si
-472.108	-161.961	552.754	-0.137906	-0.8478	0.117012	4.35384	Si
-472.134	-162.121	552.776	-0.130653	-0.844909	0.148396	4.35248	Si
-472.506	-164.527	553.199	-0.104144	-0.850223	0.137853	4.33211	Si
-472.715	-166.234	553.475	-0.126911	-0.84517	0.151329	4.31771	Si
-473.261	-169.866	554.126	-0.137287	-0.846295	0.131761	4.28679	Si
-473.884	-173.709	554.724	-0.23611	-0.827642	0.113119	4.25396	Si
-474.767	-176.804	555.147	-0.227347	-0.83115	0.0816816	4.22677	Si
-475.335	-178.878	555.351	-0.276062	-0.813465	0.00287662	4.20854	Si
-475.716	-180.003	555.355	-0.213671	-0.833389	0.0119387	4.1984	Si
-476.686	-183.785	555.409	-0.23701	-0.828283	0.0565811	4.16509	Si
-476.748	-184.003	555.424	-0.224374	-0.831847	0.0600982	4.16316	Si
-478.26	-189.607	555.829	-0.215965	-0.830425	0.134896	4.11341	Si
-479.578	-194.674	556.652	-0.197838	-0.838395	0.0654171	4.06797	Si
-480.501	-198.586	556.957	-0.236748	-0.826926	0.00379041	4.03295	Si
-483.528	-209.16	557.006	-0.291421	-0.811211	0.0229397	3.93637	Si
-484.037	-210.577	557.046	-0.262665	-0.80989	-0.0600962	3.92294	Si
-485.245	-214.302	556.769	-0.196662	-0.835092	-0.00520038	3.88752	Si
-487.493	-223.848	556.71	-0.210535	-0.824241	-0.0760311	3.7989	Si
-488.573	-228.075	556.32	-0.0398623	-0.855746	0.0944347	3.75849	Si
-488.588	-228.401	556.356	-0.0814071	-0.834417	0.202892	3.75547	Si
-488.94	-232.001	557.231	-0.100061	-0.837098	0.181354	3.7212	Si
-490.539	-245.381	560.13	-0.285513	-0.796778	0.19354	3.5934	Si
-494.353	-256.026	562.716	-0.273979	-0.803267	0.165278	3.48393	Si
-494.633	-256.847	562.885	-0.252914	-0.813024	0.0994724	3.47537	Si
-495.03	-258.121	563.041	-0.46567	-0.687706	-0.095798	3.46222	Si
-496.049	-259.627	562.831	-0.506301	-0.663232	-0.0857328	3.44381	Si
-497.998	-262.18	562.501	-0.515179	-0.67629	-0.0372239	3.41131	Si
-498.284	-262.555	562.48	-0.455484	-0.730836	-0.000215638	3.40659	Si
-499.792	-264.975	562.479	-0.472577	-0.722613	0.0090971	3.37844	Si
-500.628	-266.252	562.495	-0.467924	-0.726852	0.0133661	3.36331	Si
-501.907	-268.239	562.532	0.0218146	-0.892243	-0.0772319	3.33985	Si
-501.665	-278.126	561.676	0.00273013	-0.894681	-0.0464534	3.24429	Si
-501.621	-292.533	560.928	0.0259824	-0.895123	0.0285303	3.10258	Si
-501.612	-292.866	560.939	0.0387743	-0.89428	-0.0371575	3.09921	Si
